tenant_id,submission_id,decided_at,perplexity_micros,tail_fraction_micros,novelty_score_micros,task_success,length
tenant-a,s001a,2026-07-30T00:00:00Z,1001,500,900,success,1001
tenant-a,s001b,2026-07-30T00:00:00Z,2001,500,100,failure,2001
tenant-a,s002a,2026-07-30T00:00:00Z,1002,500,900,success,1002
tenant-a,s002b,2026-07-30T00:00:00Z,2002,500,100,failure,2002
tenant-a,s003a,2026-07-30T00:00:00Z,1003,500,900,success,1003
tenant-a,s003b,2026-07-30T00:00:00Z,2003,500,100,failure,2003
tenant-a,s004a,2026-07-30T00:00:00Z,1004,500,900,success,1004
tenant-a,s004b,2026-07-30T00:00:00Z,2004,500,100,failure,2004
tenant-a,s005a,2026-07-30T00:00:00Z,1005,500,900,success,1005
tenant-a,s005b,2026-07-30T00:00:00Z,2005,500,100,failure,2005
tenant-a,s006a,2026-07-30T00:00:00Z,1006,500,900,success,1006
tenant-a,s006b,2026-07-30T00:00:00Z,2006,500,100,failure,2006
tenant-a,s007a,2026-07-30T00:00:00Z,1007,500,900,success,1007
tenant-a,s007b,2026-07-30T00:00:00Z,2007,500,100,failure,2007
tenant-a,s008a,2026-07-30T00:00:00Z,1008,500,900,success,1008
tenant-a,s008b,2026-07-30T00:00:00Z,2008,500,100,failure,2008
tenant-a,s009a,2026-07-30T00:00:00Z,1009,500,900,success,1009
tenant-a,s009b,2026-07-30T00:00:00Z,2009,500,100,failure,2009
tenant-a,s010a,2026-07-30T00:00:00Z,1010,500,900,success,1010
tenant-a,s010b,2026-07-30T00:00:00Z,2010,500,100,failure,2010
tenant-a,s011a,2026-07-30T00:00:00Z,1011,500,900,success,1011
tenant-a,s011b,2026-07-30T00:00:00Z,2011,500,100,failure,2011
tenant-a,s012a,2026-07-30T00:00:00Z,1012,500,900,success,1012
tenant-a,s012b,2026-07-30T00:00:00Z,2012,500,100,failure,2012
tenant-a,s013a,2026-07-30T00:00:00Z,1013,500,900,success,1013
tenant-a,s013b,2026-07-30T00:00:00Z,2013,500,100,failure,2013
tenant-a,s014a,2026-07-30T00:00:00Z,1014,500,900,success,1014
tenant-a,s014b,2026-07-30T00:00:00Z,2014,500,100,failure,2014
tenant-a,s015a,2026-07-30T00:00:00Z,1015,500,900,success,1015
tenant-a,s015b,2026-07-30T00:00:00Z,2015,500,100,failure,2015
tenant-a,s016a,2026-07-30T00:00:00Z,1016,500,900,success,1016
tenant-a,s016b,2026-07-30T00:00:00Z,2016,500,100,failure,2016
tenant-a,s017a,2026-07-30T00:00:00Z,1017,500,900,success,1017
tenant-a,s017b,2026-07-30T00:00:00Z,2017,500,100,failure,2017
tenant-a,s018a,2026-07-30T00:00:00Z,1018,500,900,success,1018
tenant-a,s018b,2026-07-30T00:00:00Z,2018,500,100,failure,2018
tenant-a,s019a,2026-07-30T00:00:00Z,1019,500,900,success,1019
tenant-a,s019b,2026-07-30T00:00:00Z,2019,500,100,failure,2019
tenant-a,s020a,2026-07-30T00:00:00Z,1020,500,900,success,1020
tenant-a,s020b,2026-07-30T00:00:00Z,2020,500,100,failure,2020
tenant-a,s021a,2026-07-30T00:00:00Z,1021,500,900,success,1021
tenant-a,s021b,2026-07-30T00:00:00Z,2021,500,100,failure,2021
tenant-a,s022a,2026-07-30T00:00:00Z,1022,500,900,success,1022
tenant-a,s022b,2026-07-30T00:00:00Z,2022,500,100,failure,2022
tenant-a,s023a,2026-07-30T00:00:00Z,1023,500,900,success,1023
tenant-a,s023b,2026-07-30T00:00:00Z,2023,500,100,failure,2023
tenant-a,s024a,2026-07-30T00:00:00Z,1024,500,900,success,1024
tenant-a,s024b,2026-07-30T00:00:00Z,2024,500,100,failure,2024
tenant-a,s025a,2026-07-30T00:00:00Z,1025,500,900,success,1025
tenant-a,s025b,2026-07-30T00:00:00Z,2025,500,100,failure,2025
tenant-a,s026a,2026-07-30T00:00:00Z,1026,500,900,success,1026
tenant-a,s026b,2026-07-30T00:00:00Z,2026,500,100,failure,2026
tenant-a,s027a,2026-07-30T00:00:00Z,1027,500,900,success,1027
tenant-a,s027b,2026-07-30T00:00:00Z,2027,500,100,failure,2027
tenant-a,s028a,2026-07-30T00:00:00Z,1028,500,900,success,1028
tenant-a,s028b,2026-07-30T00:00:00Z,2028,500,100,failure,2028
tenant-a,s029a,2026-07-30T00:00:00Z,1029,500,900,success,1029
